object_detection/input_imgs/notblocked/2016-10-05 202615 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 212837 cam135,1,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 125742 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 212714 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 192918 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 171456 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 194437 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 142201 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 170214 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 160619 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 153720 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 130449 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 213219 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 121922 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 084921 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 201322 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 221919 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 115603 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 140114 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 090941 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 174122 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 121320 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 111440 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 101524 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 092737 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 221905 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 141521 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 113904 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 200211 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 081405 cam135,1,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 131450 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 122354 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 111422 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 091042 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 131416 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 075804 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 113947 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 131956 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 142228 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 111220 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 141656 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 123308 cam135,1,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 112529 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 121048 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 145702 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 095243 cam135,2,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 165632 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 110941 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 150019 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 191645 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 133028 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 072539 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 113600 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 220653 cam135,1,0,1,0,0
object_detection/input_imgs/notblocked/2016-09-18 093343 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 121825 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 133739 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 075244 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 122859 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 083810 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 181051 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 120113 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 115021 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 131824 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 105949 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 201625 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 181354 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 131723 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 102029 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 223016 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-16 150926 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 122124 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 225945 cam135,1,0,1,0,0
object_detection/input_imgs/notblocked/2016-09-28 124111 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 135759 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 113304 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 205948 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 125027 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 100514 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-16 155835 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 210211 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 144524 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 121720 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 174426 cam135,1,1,1,0,0
object_detection/input_imgs/notblocked/2016-09-28 174035 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 131551 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 091727 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 111216 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-05 113156 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 174324 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 092838 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-21 191710 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 174540 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 125602 cam135,1,0,0,0,0
object_detection/input_imgs/notblocked/2016-10-12 161216 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-28 114819 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-22 130348 cam135,0,0,0,0,0
object_detection/input_imgs/notblocked/2016-09-18 111624 cam135,0,0,0,0,0
